Entity,Year,emissions
historic,1860,0
historic,1861,0
historic,1862,0
historic,1863,0
historic,1864,0
historic,1865,0
historic,1866,0
historic,1867,0
historic,1868,0
historic,1869,1
historic,1870,1
historic,1871,1
historic,1872,1
historic,1873,1
historic,1874,1
historic,1875,1
historic,1876,1
historic,1877,1
historic,1878,1
historic,1879,1
historic,1880,1
historic,1881,1
historic,1882,1
historic,1883,1
historic,1884,1
historic,1885,1
historic,1886,1
historic,1887,1
historic,1888,1
historic,1889,1
historic,1890,1
historic,1891,1
historic,1892,1
historic,1893,1
historic,1894,1
historic,1895,1
historic,1896,2
historic,1897,2
historic,1898,2
historic,1899,2
historic,1900,2
historic,1901,2
historic,1902,2
historic,1903,2
historic,1904,2
historic,1905,2
historic,1906,3
historic,1907,3
historic,1908,3
historic,1909,3
historic,1910,3
historic,1911,3
historic,1912,3
historic,1913,3
historic,1914,3
historic,1915,3
historic,1916,3
historic,1917,4
historic,1918,3
historic,1919,3
historic,1920,4
historic,1921,3
historic,1922,3
historic,1923,4
historic,1924,4
historic,1925,4
historic,1926,4
historic,1927,4
historic,1928,4
historic,1929,4
historic,1930,4
historic,1931,4
historic,1932,3
historic,1933,3
historic,1934,4
historic,1935,4
historic,1936,4
historic,1937,4
historic,1938,4
historic,1939,4
historic,1940,5
historic,1941,5
historic,1942,5
historic,1943,5
historic,1944,5
historic,1945,4
historic,1946,5
historic,1947,5
historic,1948,5
historic,1949,5
historic,1950,6
historic,1951,6
historic,1952,6
historic,1953,7
historic,1954,7
historic,1955,7
historic,1956,8
historic,1957,8
historic,1958,8
historic,1959,9
historic,1960,9
historic,1961,9
historic,1962,10
historic,1963,10
historic,1964,11
historic,1965,11
historic,1966,12
historic,1967,12
historic,1968,13
historic,1969,14
historic,1970,15
historic,1971,15
historic,1972,16
historic,1973,17
historic,1974,17
historic,1975,17
historic,1976,18
historic,1977,18
historic,1978,19
historic,1979,19
historic,1980,19
historic,1981,19
historic,1982,19
historic,1983,19
historic,1984,19
historic,1985,20
historic,1986,20
historic,1987,21
historic,1988,22
historic,1989,22
historic,1990,23
historic,1991,23
historic,1992,22
historic,1993,23
historic,1994,23
historic,1995,23
historic,1996,24
historic,1997,24
historic,1998,24
historic,1999,24
historic,2000,25
historic,2001,25
